Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints,Year
21,Colin Kaepernick,SF,QB,16,3369,19,10,641,1,0,0,0,0,0,0,0,15.7,250.86,2014
22,Cam Newton,CAR,QB,14,3127,18,12,539,5,0,0,0,0,0,0,0,17.8,248.98,2014
23,Matt Forte,CHI,RB,16,0,0,0,1038,6,102,808,4,0,0,0,0,15.3,244.6,2014
24,Arian Foster,HOU,RB,13,5,1,0,1246,8,38,327,5,0,0,0,0,18.1,235.5,2014
25,Eddie Lacy,GB,RB,16,0,0,0,1139,9,42,427,4,0,0,0,0,14.4,230.6,2014
26,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,111,1619,11,0,0,0,0,14.4,229.9,2014
26,Jordy Nelson,GB,WR,16,0,0,0,0,0,98,1519,13,0,0,0,0,14.4,229.9,2014
28,Dez Bryant,DAL,WR,16,0,0,0,0,0,88,1320,16,0,0,0,0,14.2,228,2014
29,Andy Dalton,CIN,QB,16,3398,19,17,169,4,1,18,1,0,0,0,0,14,224.62,2014
30,Alex Smith,KC,QB,15,3265,18,6,254,1,0,0,0,0,0,0,0,14.7,220,2014
31,Jamaal Charles,KC,RB,15,0,0,0,1033,9,40,291,5,0,0,0,0,14,210.4,2014
32,Odell Beckham Jr.,NYG,WR,12,0,0,0,35,0,91,1305,12,0,0,0,0,17,204,2014
33,Justin Forsett,BAL,RB,16,0,0,0,1266,8,44,263,0,0,0,0,0,12.7,202.9,2014
34,Randall Cobb,GB,WR,16,0,0,0,37,0,91,1287,12,0,0,0,0,12.6,202.4,2014
35,Emmanuel Sanders,DEN,WR,16,0,0,0,44,0,101,1404,9,0,0,0,0,12.6,200.8,2014
36,Julio Jones,ATL,WR,15,0,0,0,1,0,104,1593,6,0,0,0,0,12.9,193.4,2014
37,Jeremy Maclin,PHI,WR,16,0,0,0,0,0,86,1329,10,0,0,0,0,12.1,192.9,2014
38,Derek Carr,LV,QB,16,3270,21,12,87,0,0,0,0,0,0,0,0,12,191.5,2014
39,Lamar Miller,MIA,RB,16,0,0,0,1099,8,38,275,1,0,0,0,0,11.6,185.4,2014
40,Rob Gronkowski,NE,TE,15,0,0,0,0,0,82,1124,12,0,0,0,0,12.3,184.4,2014
41,Jeremy Hill,CIN,RB,16,0,0,0,1124,9,27,215,0,0,0,0,0,11.5,183.9,2014
42,Justin Houston,KC,OLB,16,0,0,0,0,0,0,0,0,22,0,4,0,11.4,182.4,2014
43,Ryan Fitzpatrick,HOU,QB,12,2483,17,8,184,2,0,0,0,0,0,0,0,15,179.72,2014
44,Teddy Bridgewater,MIN,QB,13,2919,14,12,209,1,0,0,0,0,0,0,0,13.8,179.66,2014
45,CJ Anderson,DEN,RB,15,0,0,0,849,8,34,324,2,0,0,0,0,11.8,177.3,2014
46,Mike Evans,TB,WR,15,0,0,0,0,0,68,1051,12,0,0,0,0,11.8,177.1,2014
47,Philadelphia Eagles,PHI,DST,16,0,0,0,0,0,0,0,0,49,12,24,16,11.1,177,2014
48,Alshon Jeffery,CHI,WR,16,0,0,0,33,0,85,1133,10,0,0,0,0,11,176.6,2014
49,T.Y. Hilton,IND,WR,15,0,0,0,20,0,82,1345,7,0,0,1,0,11.8,176.5,2014
50,Kyle Orton,BUF,QB,12,3018,18,10,14,1,0,0,0,0,0,0,0,14.7,176.12,2014
51,LeSean McCoy,PHI,RB,16,0,0,0,1319,5,29,155,0,0,0,0,0,10.7,171.4,2014
52,DeAndre Levy,DET,OLB,16,0,0,0,0,0,0,0,0,2.5,1,0,0,10.7,171.3,2014
53,Alfred Morris,WAS,RB,16,0,0,0,1074,8,17,155,0,0,0,0,0,10.7,170.9,2014
54,Houston Texans,HOU,DST,16,0,0,0,0,0,0,0,0,37,20,16,14,10.6,169,2014
55,Blake Bortles,JAX,QB,14,2907,11,17,419,0,0,0,0,0,0,0,0,12,168.18,2014
56,Buffalo Bills,BUF,DST,16,0,0,0,0,0,0,0,0,52,19,14,11,10.4,167,2014
57,Luke Kuechly,CAR,ILB,16,0,0,0,0,0,0,0,0,3,1,1,1,10.4,166.9,2014
58,Joique Bell,DET,RB,15,0,0,0,860,7,34,322,1,0,0,0,0,10.9,164.2,2014
59,Lavonte David,TB,ILB,14,0,0,0,0,0,0,0,0,1,0,4,1,11.7,163.4,2014
60,Mark Ingram II,NO,RB,13,0,0,0,964,9,29,145,0,0,0,0,0,12.5,162.9,2014
61,Golden Tate,DET,WR,16,0,0,0,30,0,99,1331,4,0,0,0,0,10,160.1,2014
62,D'Qwell Jackson,IND,ILB,16,0,0,0,0,0,0,0,0,4,0,1,4,9.9,158.9,2014
63,Stephen Gostkowski,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.9,158,2014
64,Brian Hoyer,CLE,QB,14,3335,12,13,32,0,0,0,0,0,0,0,0,11.2,156.6,2014
65,Cody Parkey,PHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.8,156,2014
66,Calvin Johnson,DET,WR,13,0,0,0,0,0,71,1077,8,0,0,0,0,12,155.7,2014
67,DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,76,1210,6,0,0,0,1,9.7,155,2014
68,Antonio Gates,LAC,TE,16,0,0,0,0,0,69,821,12,0,0,0,0,9.6,154.1,2014
69,Jason Pierre-Paul,NYG,OLB,16,0,0,0,0,0,0,0,0,12.5,0,3,1,9.6,153.9,2014
70,DeSean Jackson,WAS,WR,15,0,0,0,7,0,56,1169,6,0,0,0,0,10.2,153.6,2014
71,Kelvin Benjamin,CAR,WR,16,0,0,0,0,0,73,1008,9,0,0,0,0,9.6,152.8,2014
72,Geno Smith,NYJ,QB,14,2525,13,13,238,1,0,0,0,0,0,1,0,10.8,150.8,2014
73,C.J. Mosley,BAL,LB,16,0,0,0,0,0,0,0,0,3,2,0,1,9.4,150.6,2014
74,Matt Asiata,MIN,RB,15,0,0,0,570,9,44,312,1,0,0,0,0,10,150.2,2014
75,Los Angeles Rams,LAR,DST,16,0,0,0,0,0,0,0,0,41,13,16,12,9.2,148,2014
76,Jamie Collins Sr.,NE,LB,15,0,0,0,0,0,0,0,0,4,2,4,2,9.8,147.5,2014
76,Ryan Kerrigan,WAS,DE,16,0,0,0,0,0,0,0,0,13.5,0,5,1,9.2,147.5,2014
78,Frank Gore,SF,RB,16,0,0,0,1103,4,11,111,1,0,0,0,0,9.2,147.4,2014
79,Mike Wallace,MIA,WR,16,0,0,0,16,0,67,862,10,0,0,0,0,9.1,145.8,2014
80,Green Bay Packers,GB,DST,16,0,0,0,0,0,0,0,0,41,18,12,9,9.1,145,2014
81,Giovani Bernard,CIN,RB,13,0,0,0,680,5,43,349,2,0,0,1,0,11.1,144.9,2014
81,Jimmy Graham,NO,TE,16,0,0,0,0,0,85,889,10,0,0,1,0,9.1,144.9,2014
83,Adam Vinatieri,IND,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9,144,2014
84,Dan Carpenter,BUF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.9,143,2014
85,Torrey Smith,BAL,WR,16,0,0,0,0,0,49,767,11,0,0,0,0,8.9,142.7,2014
86,Mason Crosby,GB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.9,142,2014
86,Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,50,11,14,11,8.9,142,2014
88,Dan Bailey,DAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141,2014
88,Seattle Seahawks,SEA,DST,16,0,0,0,0,0,0,0,0,37,13,16,10,8.8,141,2014
90,Paul Worrilow,ATL,ILB,16,0,0,0,0,0,0,0,0,2,0,2,0,8.8,140.6,2014
91,Steve Smith,BAL,WR,16,0,0,0,0,0,79,1065,6,0,0,0,0,8.8,140.5,2014
92,Connor Barwin,PHI,OLB,16,0,0,0,0,0,0,0,0,14.5,0,2,0,8.7,139.9,2014
93,Curtis Lofton,NO,ILB,16,0,0,0,0,0,0,0,0,0,0,1,1,8.7,139.5,2014
94,Mark Sanchez,PHI,QB,9,2418,14,11,87,1,0,0,0,0,0,0,0,15.5,139.42,2014
95,New England Patriots,NE,DST,16,0,0,0,0,0,0,0,0,40,16,15,9,8.7,139,2014
96,Stephen Hauschka,SEA,K,16,0,0,0,0,0,0,0,0,0,0,0,1,8.6,138,2014
97,Matt Bryant,ATL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.6,137,2014
97,Arizona Cardinals,ARI,DST,16,0,0,0,0,0,0,0,0,35,18,9,7,8.6,137,2014
99,Von Miller,DEN,LB,16,0,0,0,0,0,0,0,0,13.5,0,1,1,8.6,136.9,2014
100,Greg Olsen,CAR,TE,16,0,0,0,0,0,84,1008,6,0,0,0,0,8.6,136.8,2014
100,Clay Matthews,GB,OLB,16,0,0,0,0,0,0,0,0,11,1,2,0,8.6,136.8,2014
102,Brandon Marshall,DEN,ILB,14,0,0,0,0,0,0,0,0,2,1,2,0,9.8,136.7,2014
103,Brandon LaFell,NE,WR,16,0,0,0,13,0,74,953,7,0,0,0,0,8.5,136.6,2014
103,Anquan Boldin,SF,WR,16,0,0,0,4,0,83,1062,5,0,0,0,0,8.5,136.6,2014
105,A.J. Green,CIN,WR,13,0,0,0,2,0,69,1041,6,0,0,0,0,10.5,136.3,2014
106,Alec Ogletree,LAR,ILB,16,0,0,0,0,0,0,0,0,0.5,2,4,0,8.5,136,2014
107,Jordan Matthews,PHI,TE,16,0,0,0,0,0,67,872,8,0,0,0,0,8.4,135.2,2014
108,Justin Tucker,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.4,135,2014
109,Chris Ivory,NYJ,RB,16,0,0,0,820,6,18,123,1,0,0,0,0,8.4,134.3,2014
110,Harrison Smith,MIN,S,16,0,0,0,0,0,0,0,0,3,5,1,0,8.4,134.2,2014
111,Randy Bullock,HOU,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.4,134,2014
111,Shaun Suisham,PIT,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.4,134,2014
113,Sammy Watkins,BUF,WR,16,0,0,0,8,0,65,982,6,0,0,0,0,8.3,133,2014
114,David Harris,NYJ,LB,16,0,0,0,0,0,0,0,0,5.5,0,2,0,8.3,132.5,2014
115,Roddy White,ATL,WR,14,0,0,0,0,0,80,921,7,0,0,0,0,9.4,132.1,2014
116,Caleb Sturgis,MIA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.2,132,2014
117,Martellus Bennett,CHI,TE,16,0,0,0,0,0,90,916,6,0,0,0,0,8.2,131.6,2014
118,Andre Ellington,ARI,RB,12,0,0,0,660,3,46,395,2,0,0,0,0,11,131.5,2014
119,Carlos Dunlap,CIN,DE,16,0,0,0,0,0,0,0,0,8,0,2,1,8.2,130.9,2014
120,Daryl Smith,BAL,OLB,16,0,0,0,0,0,0,0,0,1,1,3,1,8.2,130.7,2014
121,Julian Edelman,NE,WR,14,0,0,0,94,0,92,972,4,0,0,0,0,9.3,130.6,2014
122,Morgan Burnett,GB,SS,15,0,0,0,0,0,0,0,0,1.5,1,1,1,8.7,129.8,2014
123,Demario Davis,NYJ,LB,16,0,0,0,0,0,0,0,0,4,0,0,2,8.1,129.7,2014
124,Indianapolis Colts,IND,DST,16,0,0,0,0,0,0,0,0,41,12,21,14,8.1,129,2014
125,Lawrence Timmons,PIT,OLB,16,0,0,0,0,0,0,0,0,2,0,0,0,8,128.6,2014
126,Detroit Lions,DET,DST,16,0,0,0,0,0,0,0,0,42,20,11,7,8,128,2014
127,Andre Williams,NYG,RB,16,0,0,0,721,7,18,130,0,0,0,0,0,7.9,127.1,2014
128,Charles Woodson,LV,SS,16,0,0,0,0,0,0,0,0,1,4,0,1,7.9,127,2014
129,Josh McCown,TB,QB,12,2206,11,14,127,3,0,0,0,0,0,0,0,10.6,126.94,2014
130,Paul Kruger,CLE,DE,16,0,0,0,0,0,0,0,0,12,0,4,1,7.9,126.7,2014
131,Eric Decker,NYJ,WR,15,0,0,0,0,0,74,962,5,0,0,0,0,8.4,126.2,2014
132,Jelani Jenkins,MIA,ILB,15,0,0,0,0,0,0,0,0,3.5,0,2,0,8.4,126.1,2014
133,Coby Fleener,IND,TE,16,0,0,0,0,0,51,774,8,0,0,0,0,7.8,125.4,2014
134,Nick Folk,NYJ,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.8,125,2014
134,Cleveland Browns,CLE,DST,16,0,0,0,0,0,0,0,0,31,21,14,8,7.8,125,2014
134,San Francisco 49ers,SF,DST,16,0,0,0,0,0,0,0,0,36,23,11,6,7.8,125,2014
137,Rashad Johnson,ARI,FS,16,0,0,0,0,0,0,0,0,1,4,0,1,7.8,124.4,2014
138,Terrell Suggs,BAL,DE,16,0,0,0,0,0,0,0,0,12,0,0,1,7.8,124.2,2014
139,Michael Griffin,TEN,SS,16,0,0,0,0,0,0,0,0,3,2,0,0,7.8,124,2014
140,Everson Griffen,MIN,DE,16,0,0,0,0,0,0,0,0,12,0,1,0,7.7,123.8,2014
140,Robert Quinn,LAR,DE,16,0,0,0,0,0,0,0,0,10.5,0,5,0,7.7,123.8,2014
142,Elvis Dumervil,BAL,DE,16,0,0,0,0,0,0,0,0,17,0,1,1,7.7,123.7,2014
143,James Laurinaitis,LAR,ILB,16,0,0,0,0,0,0,0,0,3.5,0,0,2,7.7,123.6,2014
144,Mohamed Sanu,CIN,WR,16,79,1,0,51,0,56,790,5,0,0,0,0,7.7,123.26,2014
145,Julius Peppers,GB,DE,16,0,0,0,0,0,0,0,0,7,2,4,3,7.7,123.2,2014
146,Jameel McClain,NYG,ILB,16,0,0,0,0,0,0,0,0,2.5,0,1,0,7.7,123.1,2014
147,Graham Gano,CAR,K,16,0,0,0,0,0,0,0,0,0,0,0,1,7.7,123,2014
148,TJ McDonald,LAR,SS,16,0,0,0,0,0,0,0,0,2,1,0,1,7.7,122.8,2014
149,Fred Jackson,BUF,RB,14,0,0,0,526,2,66,501,1,0,0,0,0,8.8,122.7,2014
150,Josh Brown,NYG,K,16,0,0,0,0,0,0,0,0,0,0,0,1,7.6,122,2014
150,Minnesota Vikings,MIN,DST,16,0,0,0,0,0,0,0,0,41,13,8,6,7.6,122,2014
152,Malcom Floyd,LAC,WR,16,0,0,0,0,0,52,856,6,0,0,0,0,7.6,121.6,2014
153,Steven Jackson,ATL,RB,15,0,0,0,707,6,20,148,0,0,0,0,0,8.1,121.5,2014
154,Jonathan Stewart,CAR,RB,13,0,0,0,809,3,25,181,1,0,0,0,0,9.3,121,2014
155,Julius Thomas,DEN,TE,13,0,0,0,0,0,43,489,12,0,0,0,0,9.3,120.9,2014
156,Mario Williams,BUF,DE,16,0,0,0,0,0,0,0,0,14.5,0,2,0,7.5,120.5,2014
157,Jerry Hughes,BUF,DE,16,0,0,0,0,0,0,0,0,10,0,3,1,7.5,120.4,2014
158,Phil Dawson,SF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.5,120,2014
158,Miami Dolphins,MIA,DST,16,0,0,0,0,0,0,0,0,39,14,13,11,7.5,120,2014
160,Nick Foles,PHI,QB,8,2163,13,10,68,0,0,0,0,0,0,0,0,14.9,119.32,2014
161,Tre Mason,LAR,RB,12,0,0,0,765,4,16,148,1,0,0,0,0,9.9,119.3,2014
162,Eddie Royal,LAC,WR,16,0,0,0,14,0,62,778,7,0,0,0,0,7.4,119.2,2014
163,Ryan Mundy,CHI,SS,16,0,0,0,0,0,0,0,0,1,4,0,1,7.4,119.1,2014
164,Dallas Cowboys,DAL,DST,16,0,0,0,0,0,0,0,0,28,18,15,14,7.4,119,2014
164,Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,33,11,12,10,7.4,119,2014
166,Michael Floyd,ARI,WR,16,0,0,0,2,0,47,841,6,0,0,0,0,7.4,118.3,2014
167,Marques Colston,NO,WR,16,0,0,0,0,0,59,902,5,0,0,0,0,7.4,118.2,2014
167,Chris Borland,SF,ILB,14,0,0,0,0,0,0,0,0,1,2,0,1,8.4,118.2,2014
169,Brandon Marshall,CHI,WR,13,0,0,0,0,0,61,721,8,0,0,1,0,9.1,118.1,2014
170,Chandler Catanzaro,ARI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.4,118,2014
170,Kansas City Chiefs,KC,DST,16,0,0,0,0,0,0,0,0,46,6,13,7,7.4,118,2014
172,Antoine Bethea,SF,FS,16,0,0,0,0,0,0,0,0,1,4,1,0,7.3,117.5,2014
173,K.J. Wright,SEA,OLB,16,0,0,0,0,0,0,0,0,2,0,3,1,7.3,117.3,2014
174,Mike Nugent,CIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.3,117,2014
174,Jason McCourty,TEN,CB,16,0,0,0,0,0,0,0,0,0,3,2,1,7.3,117,2014
174,Carolina Panthers,CAR,DST,16,0,0,0,0,0,0,0,0,40,14,21,12,7.3,117,2014
174,Denver Broncos,DEN,DST,16,0,0,0,0,0,0,0,0,41,18,13,7,7.3,117,2014
178,Ahmad Bradshaw,IND,RB,10,0,0,0,425,2,38,300,6,0,0,0,0,11.6,116.5,2014
179,Travis Kelce,KC,TE,16,0,0,0,0,1,67,862,5,0,0,0,0,7.3,116.2,2014
180,Greg Zuerlein,LAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,116,2014
181,Sheldon Richardson,NYJ,DT,16,0,0,0,0,0,0,0,0,8,0,1,1,7.2,115.2,2014
182,Keenan Robinson,WAS,OLB,13,0,0,0,0,0,0,0,0,1.5,1,0,1,8.9,115.1,2014
183,Cairo Santos,KC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115,2014
183,Blair Walsh,MIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115,2014
185,Rob Ninkovich,NE,OLB,16,0,0,0,0,0,0,0,0,8,1,0,1,7.2,114.9,2014
186,Nigel Bradham,BUF,ILB,14,0,0,0,0,0,0,0,0,2,1,2,0,8.2,114.8,2014
186,Telvin Smith,JAX,OLB,16,0,0,0,0,0,0,0,0,2,1,1,2,7.2,114.8,2014
188,Ndamukong Suh,DET,NT,16,0,0,0,0,0,0,0,0,8.5,0,0,0,7.2,114.5,2014
189,Shane Vereen,NE,RB,16,0,0,0,391,2,53,447,3,0,0,0,0,7.1,113.8,2014
190,Isaiah Crowell,CLE,RB,16,0,0,0,607,8,9,87,0,0,0,0,0,7.1,113.4,2014
190,Ron Parker,KC,SS,16,0,0,0,0,0,0,0,0,1,1,1,0,7.1,113.4,2014
192,Mike Adams,IND,FS,16,0,0,0,0,0,0,0,0,0,5,1,2,7.1,113,2014
192,Dont'a Hightower,NE,LB,12,0,0,0,0,0,0,0,0,6,0,1,0,9.4,113,2014
192,Delanie Walker,TEN,TE,15,0,0,0,0,0,63,890,4,0,0,0,0,7.5,113,2014
195,Eric Weddle,LAC,FS,16,0,0,0,0,0,0,0,0,0,1,2,0,7,112,2014
196,Khalil Mack,LV,OLB,16,0,0,0,0,0,0,0,0,4,0,1,0,7,111.9,2014
197,Rueben Randle,NYG,WR,16,0,0,0,0,0,71,938,3,0,0,0,0,7,111.8,2014
198,Kemal Ishmael,ATL,SS,16,0,0,0,0,0,0,0,0,0,4,1,1,7,111.5,2014
199,Reggie Nelson,CIN,FS,16,0,0,0,0,0,0,0,0,1.5,4,0,0,7,111.3,2014
200,Mychal Kendricks,PHI,OLB,12,0,0,0,0,0,0,0,0,4,0,3,0,9.3,111.2,2014
201,Jacksonville Jaguars,JAX,DST,16,0,0,0,0,0,0,0,0,45,6,18,14,6.9,111,2014
202,Kenny Stills,NO,WR,15,0,0,0,-2,0,63,931,3,0,0,0,0,7.4,110.9,2014
202,Kendall Wright,TEN,WR,14,0,0,0,54,0,57,715,6,0,0,0,0,7.9,110.9,2014
204,Ziggy Ansah,DET,DE,16,0,0,0,0,0,0,0,0,7.5,0,3,0,6.9,110.6,2014
205,Jason Worilds,PIT,OLB,16,0,0,0,0,0,0,0,0,7.5,1,1,2,6.9,110.4,2014
206,Thomas Davis Sr.,CAR,OLB,15,0,0,0,0,0,0,0,0,2.5,0,1,1,7.3,110.2,2014
206,Greg Jennings,MIN,WR,16,0,0,0,0,0,59,742,6,0,0,0,0,6.9,110.2,2014
206,Danny Lansanah,TB,OLB,16,0,0,0,0,0,0,0,0,1.5,3,0,0,6.9,110.2,2014
206,Vincent Jackson,TB,WR,16,0,0,0,0,0,70,1002,2,0,0,0,0,6.9,110.2,2014
210,Terrance Williams,DAL,WR,16,0,0,0,0,0,37,621,8,0,0,0,0,6.9,110.1,2014
211,Nick Novak,LAC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,6.9,110,2014
212,Bobby Wagner,SEA,LB,11,0,0,0,0,0,0,0,0,2,0,0,0,10,109.8,2014
213,Branden Oliver,LAC,RB,14,0,0,0,582,3,36,271,1,0,0,0,0,7.8,109.3,2014
214,James Ihedigbo,DET,SS,13,0,0,0,0,0,0,0,0,2,4,3,1,8.4,109.1,2014
215,New York Giants,NYG,DST,16,0,0,0,0,0,0,0,0,47,17,15,9,6.8,109,2014
216,Anthony Barr,MIN,LB,12,0,0,0,0,0,0,0,0,4,0,2,3,9.1,108.8,2014
217,Rashad Jennings,NYG,RB,11,0,0,0,639,4,30,226,0,0,0,0,0,9.9,108.5,2014
218,Aqib Talib,DEN,CB,15,0,0,0,0,0,0,0,0,1,4,1,0,7.2,108.3,2014
219,Calais Campbell,ARI,DE,14,0,0,0,0,0,0,0,0,7,1,1,0,7.7,108,2014
220,Austin Davis,LAR,QB,10,2001,12,9,36,0,0,0,0,0,0,0,0,10.8,107.64,2014
221,Sio Moore,LV,ILB,11,0,0,0,0,0,0,0,0,3,0,2,0,9.7,107.1,2014
222,Demarcus Ware,DEN,OLB,16,0,0,0,0,0,0,0,0,10.5,1,1,0,6.7,107,2014
223,Josh Mauga,KC,ILB,16,0,0,0,0,0,0,0,0,0.5,0,0,0,6.7,106.9,2014
224,Corey Liuget,LAC,DT,16,0,0,0,0,0,0,0,0,5,0,2,2,6.6,106.3,2014
225,Andre Johnson,HOU,WR,15,0,0,0,0,0,85,936,3,0,0,0,0,7,105.6,2014
225,Darren Sproles,PHI,RB,15,0,0,0,329,6,40,387,0,0,0,0,0,7,105.6,2014
227,Johnathan Joseph,HOU,CB,16,0,0,0,0,0,0,0,0,0,2,1,2,6.6,105.5,2014
227,Malcolm Jenkins,PHI,SS,16,0,0,0,0,0,0,0,0,0,3,1,1,6.6,105.5,2014
229,Joe Haden,CLE,CB,15,0,0,0,0,0,0,0,0,0,3,1,2,7,104.5,2014
229,Junior Galette,NO,OLB,16,0,0,0,0,0,0,0,0,10,0,3,0,6.5,104.5,2014
231,Martavis Bryant,PIT,WR,10,0,0,0,12,0,26,549,8,0,0,0,0,10.4,104.1,2014
232,Antrel Rolle,NYG,SS,16,0,0,0,0,0,0,0,0,0,3,1,1,6.5,104,2014
233,Allen Hurns,JAX,WR,16,0,0,0,0,0,51,677,6,0,0,0,0,6.5,103.7,2014
233,Perry Riley,WAS,ILB,14,0,0,0,0,0,0,0,0,2.5,0,1,0,7.4,103.7,2014
235,Carson Palmer,ARI,QB,6,1626,11,3,25,0,0,0,0,0,0,0,0,17.3,103.54,2014
236,Cameron Wake,MIA,OLB,16,0,0,0,0,0,0,0,0,11.5,0,3,1,6.5,103.4,2014
237,Barry Church,DAL,SS,16,0,0,0,0,0,0,0,0,0,2,1,1,6.4,103,2014
237,Kendrick Lewis,HOU,SS,16,0,0,0,0,0,0,0,0,0,2,3,1,6.4,103,2014
237,Shayne Graham,NO,K,16,0,0,0,0,0,0,0,0,0,0,0,0,6.4,103,2014
237,Kai Forbath,WAS,K,16,0,0,0,0,0,0,0,0,0,0,0,0,6.4,103,2014
237,Cincinnati Bengals,CIN,DST,16,0,0,0,0,0,0,0,0,20,20,7,6,6.4,103,2014
237,Tampa Bay Buccaneers,TB,DST,16,0,0,0,0,0,0,0,0,35,14,16,11,6.4,103,2014
243,Jurrell Casey,TEN,DE,16,0,0,0,0,0,0,0,0,5,0,0,0,6.4,102.5,2014
244,Jared Allen,CHI,OLB,15,0,0,0,0,0,0,0,0,6,0,2,2,6.8,102.4,2014
245,Reshad Jones,MIA,SS,12,0,0,0,0,0,0,0,0,1,3,1,0,8.5,102.3,2014
246,Johnathan Cyprien,JAX,DB,15,0,0,0,0,0,0,0,0,0,0,0,0,6.8,102,2014
246,Earl Thomas III,SEA,FS,16,0,0,0,0,0,0,0,0,0,1,3,1,6.4,102,2014
248,Ryan Clark,WAS,FS,16,0,0,0,0,0,0,0,0,0.5,1,0,2,6.4,101.9,2014
249,Muhammad Wilkerson,NYJ,DE,13,0,0,0,0,0,0,0,0,6,0,1,0,7.8,101.8,2014
250,Terrance West,CLE,RB,14,0,0,0,673,4,11,64,1,0,0,0,0,7.3,101.7,2014
251,Doug Baldwin,SEA,WR,16,0,0,0,8,0,66,825,3,0,0,0,0,6.3,101.3,2014
252,Wesley Woodyard,TEN,ILB,16,0,0,0,0,0,0,0,0,2.5,2,0,0,6.3,100.7,2014
253,James Jones,LV,WR,16,0,0,0,0,0,73,666,6,0,0,0,0,6.3,100.6,2014
