Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints,Year
1,Aaron Rodgers,GB,QB,16,4381,38,5,269,2,0,0,0,0,0,0,0,22.1,354.14,2014
2,Andrew Luck,IND,QB,16,4761,40,16,263,3,0,0,0,0,0,0,0,21.9,350.74,2014
3,Russell Wilson,SEA,QB,16,3475,20,7,849,6,1,17,0,0,0,0,0,20.5,327.6,2014
4,Peyton Manning,DEN,QB,16,4727,39,15,-24,0,0,0,0,0,0,0,0,19.5,312.68,2014
5,Ben Roethlisberger,PIT,QB,16,4952,32,9,27,0,0,-6,0,0,0,0,0,19.1,306.18,2014
6,Drew Brees,NO,QB,16,4952,33,17,68,1,1,1,0,0,0,0,0,18.9,302.98,2014
7,DeMarco Murray,DAL,RB,16,0,0,0,1845,13,57,416,0,0,0,0,0,18.4,294.1,2014
8,Le'Veon Bell,PIT,RB,16,0,0,0,1361,8,83,854,3,0,0,0,0,18,287.5,2014
9,Matt Ryan,ATL,QB,16,4694,28,14,145,0,0,0,0,0,0,0,0,17.8,284.26,2014
10,Ryan Tannehill,MIA,QB,16,4045,27,12,311,1,1,-4,0,0,0,0,0,17.4,278.5,2014
11,Tom Brady,NE,QB,16,4109,33,9,57,0,0,0,0,0,0,0,0,17.4,278.06,2014
12,J.J. Watt,HOU,DE,16,0,0,0,0,0,3,4,3,20.5,1,4,5,17.2,274.9,2014
13,Eli Manning,NYG,QB,16,4410,30,14,31,1,0,0,0,0,0,0,0,16.8,269.5,2014
14,Tony Romo,DAL,QB,15,3705,34,9,61,0,0,0,0,0,0,0,0,17.8,266.3,2014
15,Philip Rivers,LAC,QB,16,4286,31,18,104,0,0,0,0,0,0,0,0,16.6,265.84,2014
16,Marshawn Lynch,SEA,RB,16,0,0,0,1306,13,37,367,4,0,0,0,0,16.6,265.3,2014
17,Joe Flacco,BAL,QB,16,3986,27,12,70,2,0,0,0,0,0,0,0,16.4,262.44,2014
18,Jay Cutler,CHI,QB,15,3812,28,18,191,2,0,0,0,0,0,0,0,17,255.58,2014
19,Antonio Brown,PIT,WR,16,20,1,0,13,0,129,1698,13,0,0,0,0,15.7,251.9,2014
20,Matthew Stafford,DET,QB,16,4257,22,12,93,2,0,0,0,0,0,0,0,15.7,251.58,2014
