Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints,Year
1,Drew Brees,NO,QB,16,5177,43,19,5,1,0,0,0,0,0,0,0,21.6,345.58,2012
2,Aaron Rodgers,GB,QB,16,4295,39,8,259,2,1,-1,0,0,0,0,0,21.5,343.6,2012
3,Tom Brady,NE,QB,16,4827,34,8,32,4,0,0,0,0,0,0,0,21.3,340.28,2012
4,Cam Newton,CAR,QB,16,3869,19,12,741,8,0,6,0,0,0,0,0,20.2,323.46,2012
5,Robert Griffin III,WAS,QB,15,3200,20,5,815,7,0,0,0,0,0,0,0,21.2,317.5,2012
6,Peyton Manning,DEN,QB,16,4659,37,11,6,0,0,0,0,0,0,0,0,19.4,310.96,2012
7,Adrian Peterson,MIN,RB,16,0,0,0,2097,12,40,217,1,0,0,0,0,19.2,307.4,2012
8,Matt Ryan,ATL,QB,16,4719,32,14,141,1,0,0,0,0,0,0,0,19.1,304.86,2012
9,Tony Romo,DAL,QB,16,4903,28,19,49,1,1,-1,0,0,0,0,0,17.4,278.92,2012
10,Andrew Luck,IND,QB,16,4374,23,18,255,5,0,0,0,0,0,0,0,17.3,276.46,2012
11,Russell Wilson,SEA,QB,16,3118,26,10,489,4,0,0,0,0,0,0,0,17.2,275.62,2012
12,Matthew Stafford,DET,QB,16,4967,20,17,126,4,1,3,0,0,0,0,0,17.2,275.58,2012
13,Doug Martin,TB,RB,16,0,0,0,1454,11,49,472,1,0,0,0,0,16.4,262.6,2012
14,Arian Foster,HOU,RB,16,0,0,0,1424,15,40,217,2,0,0,0,0,16.4,262.1,2012
15,Andy Dalton,CIN,QB,16,3669,27,16,120,4,0,0,0,0,0,0,0,15.7,250.76,2012
16,Josh Freeman,TB,QB,16,4065,27,17,139,0,0,0,0,0,0,0,0,15.5,248.5,2012
17,Marshawn Lynch,SEA,RB,16,0,0,0,1590,11,23,196,1,0,0,0,0,15.4,246.6,2012
18,J.J. Watt,HOU,DE,16,0,0,0,0,0,0,0,0,20.5,0,4,2,15.3,244.9,2012
19,Alfred Morris,WAS,RB,16,0,0,0,1613,13,11,77,0,0,0,0,0,15.1,241,2012
20,Joe Flacco,BAL,QB,16,3817,22,10,22,3,0,0,0,0,0,0,0,14.7,234.88,2012
21,Eli Manning,NYG,QB,16,3948,26,15,30,0,0,0,0,0,0,0,0,14.6,232.92,2012
22,Sam Bradford,LAR,QB,16,3702,21,13,127,1,0,0,0,0,0,0,0,14.4,230.78,2012
23,Carson Palmer,LV,QB,15,4018,22,14,36,1,0,0,0,0,0,0,0,15,224.32,2012
24,Ben Roethlisberger,PIT,QB,13,3265,26,8,92,0,0,0,0,0,0,0,0,17.2,223.8,2012
25,Matt Schaub,HOU,QB,16,4008,22,12,-9,0,1,-6,0,0,0,0,0,13.9,222.82,2012
26,Ray Rice,BAL,RB,16,0,0,0,1143,9,61,478,1,0,0,0,0,13.9,222.1,2012
27,Chicago Bears,CHI,DST,16,0,0,0,0,0,0,0,0,41,24,26,20,13.9,222,2012
28,Calvin Johnson,DET,WR,16,0,0,0,0,0,122,1964,5,0,0,0,0,13.8,220.4,2012
