Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints,Year
44,Michael Thomas,NO,WR,16,0,0,0,0,0,125,1405,9,0,0,0,0,11.9,190.5,2018
45,James White,NE,RB,16,0,0,0,425,5,87,751,7,0,0,0,0,11.8,189.6,2018
46,Phillip Lindsay,DEN,RB,15,0,0,0,1037,9,35,241,1,0,0,0,0,12.5,187.8,2018
47,Chicago Bears,CHI,DST,16,0,0,0,0,0,0,0,0,50,27,16,9,11.7,187,2018
48,Derrick Henry,TEN,RB,16,14,0,0,1059,12,15,99,0,0,0,0,0,11.6,186.36,2018
49,JuJu Smith-Schuster,PIT,WR,16,0,0,0,13,0,111,1426,7,0,0,0,0,11.6,185.9,2018
50,Chris Carson,SEA,RB,14,0,0,0,1151,9,20,163,0,0,0,0,0,13,181.4,2018
51,Robert Woods,LAR,WR,16,0,0,0,157,1,86,1219,6,0,0,0,0,11.2,179.6,2018
52,J.J. Watt,HOU,DE,16,0,0,0,0,0,0,0,0,16,0,7,0,11,176.6,2018
53,Marcus Mariota,TEN,QB,14,2528,11,8,357,2,1,21,0,0,0,0,0,12.5,174.92,2018
54,Andy Dalton,CIN,QB,11,2566,21,11,99,0,0,0,0,0,0,0,0,15.9,174.54,2018
55,Nick Chubb,CLE,RB,16,0,0,0,996,8,20,149,2,0,0,0,0,10.9,174.5,2018
56,Blake Bortles,JAX,QB,13,2718,13,11,365,1,0,0,0,0,0,0,1,13.3,173.22,2018
57,George Kittle,SF,TE,16,0,0,0,10,0,88,1377,5,0,0,0,0,10.7,170.7,2018
58,Adrian Peterson,WAS,RB,16,0,0,0,1042,7,20,208,1,0,0,0,0,10.6,169,2018
59,Sam Darnold,NYJ,QB,13,2865,17,15,138,1,0,0,0,0,0,0,0,13,168.4,2018
60,Ryan Fitzpatrick,TB,QB,8,2366,17,12,152,2,0,0,0,0,0,0,0,20.7,165.84,2018
61,Tyler Lockett,SEA,WR,16,0,0,0,69,0,57,965,10,0,0,0,0,10.3,165.4,2018
62,Zach Ertz,PHI,TE,16,0,0,0,0,0,116,1163,8,0,0,0,0,10.3,164.3,2018
62,Stefon Diggs,MIN,WR,15,0,0,0,62,0,102,1021,9,0,0,0,0,11,164.3,2018
64,Luke Kuechly,CAR,ILB,16,0,0,0,0,0,0,0,0,2,1,2,1,10.2,163.8,2018
65,Brandin Cooks,LAR,WR,16,0,0,0,68,1,80,1204,5,0,0,0,0,10.2,163.2,2018
66,Keenan Allen,LAC,WR,16,0,0,0,75,0,97,1196,6,0,0,0,0,10.2,163.1,2018
67,T.Y. Hilton,IND,WR,14,0,0,0,0,0,76,1270,6,0,0,0,0,11.6,163,2018
68,Tarik Cohen,CHI,RB,16,1,1,0,444,3,71,725,5,0,0,0,0,10.2,162.94,2018
69,Tevin Coleman,ATL,RB,16,0,0,0,800,4,32,276,5,0,0,0,0,10.1,161.6,2018
70,Marlon Mack,IND,RB,12,0,0,0,908,9,17,103,1,0,0,0,0,13.4,161.1,2018
71,Cory Littleton,LAR,LB,16,0,0,0,0,0,0,0,0,4,3,0,0,10,160.8,2018
72,Jordan Howard,CHI,RB,16,0,0,0,935,9,20,145,0,0,0,0,0,10,160,2018
73,Ka'imi Fairbairn,HOU,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.9,158,2018
74,Lamar Jackson,BAL,QB,16,1201,6,3,695,5,0,0,0,0,0,0,0,9.8,157.54,2018
75,Bobby Wagner,SEA,LB,15,0,0,0,0,0,0,0,0,1,1,2,1,10.5,156.9,2018
76,Jamal Adams,NYJ,SS,16,0,0,0,0,0,0,0,0,3.5,1,3,1,9.8,156.5,2018
77,Eric Ebron,IND,TE,16,0,0,0,-8,1,66,750,13,0,0,0,0,9.8,156.2,2018
78,T.J. Watt,PIT,LB,16,0,0,0,0,0,0,0,0,13,0,6,0,9.7,155.2,2018
79,Odell Beckham Jr.,NYG,WR,12,106,2,0,19,0,77,1052,6,0,0,0,0,12.8,153.34,2018
80,Kenyan Drake,MIA,RB,16,0,0,0,535,4,53,477,5,0,0,0,0,9.6,153.2,2018
81,Chris Jones,KC,DT,16,0,0,0,0,0,0,0,0,15.5,1,2,0,9.5,152,2018
82,Justin Tucker,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.4,151,2018
83,Blake Martinez,GB,LB,16,0,0,0,0,0,0,0,0,5,0,0,0,9.4,150.4,2018
84,Los Angeles Rams,LAR,DST,16,0,0,0,0,0,0,0,0,41,18,13,12,9.4,150,2018
85,Von Miller,DEN,LB,16,0,0,0,0,0,0,0,0,14.5,1,5,3,9.3,149.25,2018
86,Jaylon Smith,DAL,LB,16,0,0,0,0,0,0,0,0,4,0,3,2,9.3,148.6,2018
87,Telvin Smith,JAX,OLB,16,0,0,0,0,0,0,0,0,1,2,1,1,9.3,148.4,2018
88,Dee Ford,KC,DE,16,0,0,0,0,0,0,0,0,13,0,6,0,9.3,148.35,2018
89,Danielle Hunter,MIN,OLB,16,0,0,0,0,0,0,0,0,14.5,0,0,1,9.3,148.2,2018
90,Lamar Miller,HOU,RB,14,0,0,0,973,5,25,163,1,0,0,0,0,10.5,147.6,2018
91,Lavonte David,TB,ILB,14,0,0,0,0,0,0,0,0,3.5,0,1,2,10.5,146.95,2018
92,Khalil Mack,CHI,OLB,14,0,0,0,0,0,0,0,0,12.5,1,6,2,10.4,146.3,2018
93,Houston Texans,HOU,DST,16,0,0,0,0,0,0,0,0,43,15,20,14,9.1,146,2018
94,Aaron Jones,GB,RB,12,0,0,0,728,8,26,206,1,0,0,0,0,12.1,145.4,2018
95,Tyler Boyd,CIN,WR,14,0,0,0,3,0,76,1028,7,0,0,0,0,10.4,145.1,2018
96,Calais Campbell,JAX,DE,16,0,0,0,0,0,0,0,0,10.5,0,1,1,9,144.35,2018
97,Demario Davis,NO,LB,16,0,0,0,0,0,0,0,0,5,0,2,1,9,143.8,2018
98,DeMarcus Lawrence,DAL,DE,16,0,0,0,0,0,0,0,0,10.5,1,3,1,9,143.2,2018
99,Calvin Ridley,ATL,WR,16,0,0,0,27,0,64,821,10,0,0,0,0,8.9,142.8,2018
100,Ryan Tannehill,MIA,QB,11,1979,17,9,145,0,1,3,1,0,0,0,0,12.9,141.96,2018
101,Tremaine Edmunds,BUF,LB,15,0,0,0,0,0,0,0,0,2,2,2,0,9.4,141.4,2018
102,Harrison Butker,KC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141,2018
102,Jason Myers,NYJ,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141,2018
104,Jayon Brown,TEN,LB,16,0,0,0,0,0,0,0,0,6,1,2,1,8.8,140.55,2018
105,Amari Cooper,DAL,WR,15,0,0,0,20,0,75,1004,7,0,0,0,0,9.4,140.4,2018
106,Roquan Smith,CHI,ILB,16,0,0,0,0,0,0,0,0,5,1,0,0,8.8,140.2,2018
107,Wil Lutz,NO,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,140,2018
108,Leighton Vander Esch,DAL,LB,16,0,0,0,0,0,0,0,0,0,2,0,0,8.7,139,2018
109,Alex Smith,WAS,QB,10,2180,10,5,168,1,0,0,0,0,0,0,0,13.8,138,2018
110,Mike Williams,LAC,WR,16,0,0,0,28,1,43,664,10,0,0,0,0,8.6,137.2,2018
111,Joe Flacco,BAL,QB,9,2465,12,6,45,0,0,0,0,0,0,0,0,15.2,137.1,2018
111,Kenny Golladay,DET,WR,15,0,0,0,8,0,70,1063,5,0,0,1,1,9.1,137.1,2018
113,Frank Clark,SEA,OLB,16,0,0,0,0,0,0,0,0,14,1,4,2,8.5,136.15,2018
114,Jarvis Landry,CLE,WR,16,63,0,0,60,1,81,976,4,0,0,0,0,8.5,136.12,2018
115,Antoine Bethea,ARI,FS,16,0,0,0,0,0,0,0,0,3,0,1,0,8.5,135.6,2018
116,Matt Breida,SF,RB,14,0,0,0,814,3,27,261,2,0,0,0,0,9.7,135.5,2018
117,Mason Foster,WAS,ILB,16,0,0,0,0,0,0,0,0,1,2,1,2,8.4,135.2,2018
118,Kiko Alonso,MIA,ILB,15,0,0,0,0,0,0,0,0,0,3,3,1,9,135,2018
118,Aldrick Rosas,NYG,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.4,135,2018
118,New England Patriots,NE,DST,16,0,0,0,0,0,0,0,0,30,18,12,10,8.4,135,2018
121,Shawn Williams,CIN,SS,16,0,0,0,0,0,0,0,0,1,5,1,0,8.4,134.5,2018
122,Avery Williamson,NYJ,ILB,16,0,0,0,0,0,0,0,0,2.5,1,2,1,8.4,134.25,2018
123,Stephen Gostkowski,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.4,134,2018
123,Mason Crosby,GB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.4,134,2018
125,Myles Garrett,CLE,DE,16,0,0,0,0,0,0,0,0,13.5,0,3,0,8.4,133.65,2018
126,Jarrad Davis,DET,ILB,16,0,0,0,0,0,0,0,0,6,0,1,1,8.3,133.5,2018
127,Julian Edelman,NE,WR,12,43,0,0,107,0,74,850,6,0,0,0,0,11.1,133.42,2018
128,Jamie Collins Sr.,CLE,LB,16,0,0,0,0,0,0,0,0,4,1,1,1,8.3,132.7,2018
129,Sony Michel,NE,RB,13,0,0,0,931,6,7,50,0,0,0,0,0,10.2,132.1,2018
130,John Johnson III,LAR,DB,16,0,0,0,0,0,0,0,0,0,4,1,0,8.2,132,2018
130,Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,43,12,8,5,8.2,132,2018
132,Derwin James Jr.,LAC,S,16,0,0,0,0,0,0,0,0,3.5,3,0,0,8.2,131.7,2018
133,Bradley Chubb,DEN,LB,16,0,0,0,0,0,0,0,0,12,0,2,1,8.2,131.4,2018
134,Brett Maher,DAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.2,131,2018
135,Jason Pierre-Paul,TB,OLB,16,0,0,0,0,0,0,0,0,12.5,0,1,1,8.2,130.9,2018
136,Peyton Barber,TB,RB,16,0,0,0,871,5,20,92,1,0,0,0,0,8.1,130.3,2018
137,DeForest Buckner,SF,DT,16,0,0,0,0,0,0,0,0,12,0,0,1,8.1,130.2,2018
138,Robbie Gould,SF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,130,2018
138,Kansas City Chiefs,KC,DST,16,0,0,0,0,0,0,0,0,52,15,22,12,8.1,130,2018
140,Austin Ekeler,LAC,RB,14,0,0,0,554,3,39,404,3,0,0,0,0,9.3,129.8,2018
141,Chandler Jones,ARI,DE,16,0,0,0,0,0,0,0,0,13,0,3,1,8.1,129.6,2018
142,Kyle Van Noy,NE,OLB,16,0,0,0,0,0,0,0,0,3.5,1,1,2,8,127.9,2018
143,Emmanuel Sanders,DEN,WR,12,28,1,0,53,1,71,868,4,0,0,0,0,10.6,127.22,2018
144,Budda Baker,ARI,S,14,0,0,0,0,0,0,0,0,2,0,1,2,9.1,127.05,2018
145,Tahir Whitehead,LV,OLB,16,0,0,0,0,0,0,0,0,0,1,1,0,7.9,127,2018
146,Jadeveon Clowney,HOU,OLB,15,0,0,0,0,0,0,0,0,9,0,1,3,8.4,126.55,2018
147,Jordan Poyer,BUF,S,16,0,0,0,0,0,0,0,0,2,4,1,1,7.9,126.5,2018
148,Chris Godwin,TB,WR,16,0,0,0,0,0,59,842,7,0,0,0,0,7.9,126.2,2018
149,Jared Cook,LV,TE,16,0,0,0,0,0,68,896,6,0,0,0,0,7.8,125.6,2018
150,Lorenzo Alexander,BUF,OLB,16,0,0,0,0,0,0,0,0,6.5,2,1,1,7.8,125.55,2018
151,Cameron Jordan,NO,DE,16,0,0,0,0,0,0,0,0,12,0,1,1,7.8,125.2,2018
152,Todd Davis,DEN,ILB,16,0,0,0,0,0,0,0,0,0.5,1,0,0,7.8,125,2018
153,Alec Ogletree,NYG,ILB,13,0,0,0,0,0,0,0,0,1,5,0,0,9.6,124.8,2018
154,Matt Prater,DET,K,16,8,1,0,0,0,0,0,0,0,0,0,0,7.8,124.32,2018
155,Greg Zuerlein,LAR,K,11,0,0,0,0,0,0,0,0,0,0,0,0,11.3,124,2018
155,Minnesota Vikings,MIN,DST,16,0,0,0,0,0,0,0,0,50,12,8,8,7.8,124,2018
157,Fletcher Cox,PHI,DT,16,0,0,0,0,0,0,0,0,10.5,0,1,1,7.7,123.65,2018
158,Danny Trevathan,CHI,ILB,16,0,0,0,0,0,0,0,0,2,2,1,1,7.7,123.6,2018
159,Nick Mullens,SF,QB,8,2277,13,10,-16,0,0,0,0,0,0,0,0,15.4,123.48,2018
160,Harrison Smith,MIN,S,16,0,0,0,0,0,0,0,0,3,3,1,2,7.7,123.2,2018
161,Fred Warner,SF,LB,16,0,0,0,0,0,0,0,0,0,0,1,1,7.7,122.5,2018
162,Denver Broncos,DEN,DST,16,0,0,0,0,0,0,0,0,44,17,15,10,7.6,122,2018
163,Mark Ingram II,NO,RB,12,0,0,0,645,6,21,170,1,0,0,0,0,10.1,121.5,2018
164,Adam Vinatieri,IND,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,121,2018
164,Seattle Seahawks,SEA,DST,16,0,0,0,0,0,0,0,0,43,12,20,14,7.6,121,2018
166,Wesley Woodyard,TEN,ILB,14,0,0,0,0,0,0,0,0,4.5,0,0,1,8.6,120.95,2018
167,Joe Schobert,CLE,ILB,13,0,0,0,0,0,0,0,0,3,1,2,2,9.3,120.8,2018
168,Alshon Jeffery,PHI,WR,13,0,0,0,0,0,65,843,6,0,0,0,0,9.3,120.3,2018
169,Akiem Hicks,CHI,DL,16,0,0,0,1,1,0,0,0,7.5,0,3,0,7.5,120.15,2018
170,Malcolm Jenkins,PHI,SS,16,0,0,0,0,0,0,0,0,1,1,3,1,7.5,120.1,2018
171,Sebastian Janikowski,SEA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.5,120,2018
171,Myles Jack,JAX,LB,16,0,0,0,0,0,0,0,0,2.5,1,1,1,7.5,120,2018
171,Washington Commanders,WAS,DST,16,0,0,0,0,0,0,0,0,46,15,18,11,7.5,120,2018
174,Isaiah Crowell,NYJ,RB,13,0,0,0,685,6,21,152,0,0,0,0,0,9.2,119.7,2018
175,Kareem Jackson,HOU,S,16,0,0,0,0,0,0,0,0,1,2,2,1,7.4,119.2,2018
176,Tennessee Titans,TEN,DST,16,0,0,0,0,0,0,0,0,39,11,9,6,7.4,119,2018
177,Corey Davis,TEN,WR,16,0,0,0,55,0,65,891,4,0,0,0,0,7.4,118.6,2018
178,Anthony Hitchens,KC,LB,15,0,0,0,0,0,0,0,0,0,0,1,0,7.9,118.5,2018
178,Zach Cunningham,HOU,LB,14,0,0,0,0,0,0,0,0,0,1,2,1,8.5,118.5,2018
180,T.J. Yeldon,JAX,RB,14,0,0,0,414,1,55,487,4,0,0,0,0,8.4,118.1,2018
181,Ryan Kerrigan,WAS,DE,16,0,0,0,0,0,0,0,0,13,0,2,1,7.3,117.55,2018
182,Jacksonville Jaguars,JAX,DST,16,0,0,0,0,0,0,0,0,37,11,7,7,7.3,117,2018
183,Larry Fitzgerald,ARI,WR,16,32,1,0,0,0,69,734,6,0,0,0,0,7.3,116.68,2018
184,Sterling Shepard,NYG,WR,16,0,0,0,33,0,66,872,4,0,0,0,0,7.3,116.5,2018
185,Kevin Byard,TEN,S,16,66,1,0,0,0,0,0,0,2,4,0,0,7.3,116.44,2018
186,Mohamed Sanu,ATL,WR,16,5,1,0,44,0,66,838,4,0,0,0,0,7.3,116.4,2018
187,Justin Reid,HOU,S,16,0,0,0,0,0,0,0,0,0,3,1,2,7.2,116,2018
187,Indianapolis Colts,IND,DST,16,0,0,0,0,0,0,0,0,38,15,15,11,7.2,116,2018
187,Miami Dolphins,MIA,DST,16,0,0,0,0,0,0,0,0,31,21,11,7,7.2,116,2018
190,Ha Ha Clinton-Dix,WAS,SS,16,0,0,0,0,0,0,0,0,1,3,2,1,7.2,115.5,2018
191,Jake Elliott,PHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115,2018
192,Tyrann Mathieu,HOU,S,16,0,0,0,0,0,0,0,0,3,2,0,1,7.1,114,2018
192,Jessie Bates III,CIN,S,16,0,0,0,0,0,0,0,0,0,3,0,0,7.1,114,2018
194,Eric Kendricks,MIN,LB,14,0,0,0,0,0,0,0,0,1,2,1,1,8.1,113.7,2018
195,Cody Parkey,CHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.1,113,2018
196,Josh Rosen,ARI,QB,14,2278,11,14,138,0,0,0,0,0,0,0,0,8.1,112.92,2018
197,Jarran Reed,SEA,NT,16,0,0,0,0,0,0,0,0,10.5,0,0,2,7.1,112.9,2018
198,Justin Houston,KC,OLB,12,0,0,0,0,0,0,0,0,9,1,5,3,9.4,112.85,2018
199,Adam Humphries,TB,WR,16,0,0,0,11,0,76,816,5,0,0,0,0,7,112.7,2018
200,Anthony Walker Jr.,IND,LB,15,0,0,0,0,0,0,0,0,1,1,0,1,7.5,112.1,2018
201,Ryan Succop,TEN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112,2018
201,Dalvin Cook,MIN,RB,11,0,0,0,615,2,40,305,2,0,0,0,0,10.2,112,2018
201,Los Angeles Chargers,LAC,DST,16,0,0,0,0,0,0,0,0,38,13,8,7,7,112,2018
204,Benardrick McKinney,HOU,ILB,16,0,0,0,0,0,0,0,0,1.5,1,1,0,7,111.75,2018
205,Dustin Hopkins,WAS,K,16,0,0,0,0,0,0,0,0,0,0,0,0,6.9,111,2018
206,DeSean Jackson,TB,WR,12,0,0,0,29,1,41,774,4,0,0,0,0,9.2,110.3,2018
207,Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,52,8,13,7,6.9,110,2018
208,Latavius Murray,MIN,RB,16,0,0,0,578,6,22,141,0,0,0,0,0,6.9,109.9,2018
209,Matt Milano,BUF,LB,13,0,0,0,0,0,0,0,0,1,3,0,3,8.4,109.3,2018
210,Carlos Dunlap,CIN,DE,16,0,0,0,0,0,0,0,0,8,0,2,1,6.8,109.2,2018
210,Zay Jones,BUF,WR,16,0,0,0,0,0,56,652,7,0,0,0,0,6.8,109.2,2018
212,Buffalo Bills,BUF,DST,16,0,0,0,0,0,0,0,0,36,16,21,12,6.8,109,2018
213,Golden Tate,PHI,WR,15,0,0,0,34,0,74,795,4,0,0,0,0,7.3,108.9,2018
214,Eddie Jackson,CHI,DB,14,0,0,0,0,0,0,0,0,1,6,1,1,7.7,108.2,2018
215,New Orleans Saints,NO,DST,16,0,0,0,0,0,0,0,0,49,12,19,12,6.8,108,2018
216,Dede Westbrook,JAX,WR,16,0,0,0,98,0,66,717,5,0,0,0,0,6.7,107.5,2018
217,Kerryon Johnson,DET,RB,10,0,0,0,641,3,32,213,1,0,0,0,0,10.7,107.4,2018
218,Bradley McDougald,SEA,SS,16,0,0,0,0,0,0,0,0,0,3,3,1,6.7,106.5,2018
219,Robbie Chosen,NYJ,WR,14,0,0,0,-8,0,50,752,6,0,0,0,0,7.6,106.4,2018
220,Michael Bennett,PHI,DE,16,0,0,0,0,0,0,0,0,9,0,2,0,6.6,106.05,2018
221,C.J. Mosley,BAL,LB,15,0,0,0,0,0,0,0,0,0.5,1,0,0,7,105.55,2018
222,Damon Harrison,DET,DT,17,0,0,0,0,0,0,0,0,3.5,0,2,1,6.2,105.5,2018
223,Jurrell Casey,TEN,DE,15,0,0,0,0,0,0,0,0,7,0,2,1,7,105.25,2018
224,Zach Brown,WAS,ILB,16,0,0,0,0,0,0,0,0,1,0,2,0,6.6,105,2018
225,Kenny Moore II,IND,CB,15,0,0,0,0,0,0,0,0,1.5,3,1,0,7,104.3,2018
226,Vince Williams,PIT,ILB,14,0,0,0,0,0,0,0,0,4.5,1,0,0,7.4,104.05,2018
227,Damarious Randall,CLE,CB,15,0,0,0,0,0,0,0,0,0,4,0,1,6.9,104,2018
228,Trey Flowers,NE,LB,15,0,0,0,0,0,0,0,0,7.5,0,2,0,6.9,103.8,2018
229,Raekwon McMillan,MIA,LB,16,0,0,0,0,0,0,0,0,0,0,2,1,6.5,103.5,2018
230,A.J. Green,CIN,WR,9,0,0,0,0,0,46,694,6,0,0,0,0,11.5,103.4,2018
230,Haason Reddick,ARI,LB,16,0,0,0,0,0,0,0,0,4,0,1,0,6.5,103.4,2018
232,Jordan Hicks,PHI,LB,12,0,0,0,0,0,0,0,0,3,0,0,1,8.6,103.2,2018
232,Brian Poole,ATL,CB,16,0,0,0,0,0,0,0,0,3,3,0,2,6.4,103.2,2018
234,Arizona Cardinals,ARI,DST,16,0,0,0,0,0,0,0,0,49,7,13,9,6.4,103,2018
234,New York Jets,NYJ,DST,16,0,0,0,0,0,0,0,0,39,13,13,7,6.4,103,2018
236,Mike Davis,SEA,RB,15,0,0,0,514,4,34,214,1,0,0,0,0,6.9,102.8,2018
237,Nigel Bradham,PHI,ILB,15,0,0,0,0,0,0,0,0,2,0,0,1,6.8,102.4,2018
238,Damontae Kazee,ATL,S,16,0,0,0,0,0,0,0,0,0,7,0,0,6.4,102,2018
238,DJ Moore,CAR,WR,16,0,0,0,172,0,55,788,2,0,0,0,0,6.4,102,2018
240,John Brown,BAL,WR,16,0,0,0,4,0,42,715,5,0,0,0,0,6.4,101.9,2018
240,Doug Martin,LV,RB,16,0,0,0,723,4,18,116,0,0,0,0,0,6.4,101.9,2018
242,Dion Lewis,TEN,RB,16,0,0,0,517,1,59,400,1,0,0,0,0,6.4,101.7,2018
243,Nelson Agholor,PHI,WR,16,15,0,0,32,0,64,736,4,0,0,0,0,6.3,101.4,2018
244,Matt Bryant,ATL,K,13,0,0,0,0,0,0,0,0,0,0,0,0,7.8,101,2018
245,Donte Jackson,CAR,CB,16,0,0,0,0,0,0,0,0,1,4,1,0,6.3,100.8,2018
246,Tre Boston,ARI,FS,14,0,0,0,0,0,0,0,0,0,3,1,1,7.2,100.5,2018
247,Za'Darius Smith,BAL,DE,16,0,0,0,0,0,0,0,0,8.5,0,1,0,6.3,100.3,2018
248,Randy Bullock,CIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,6.2,100,2018
248,Cleveland Browns,CLE,DST,16,0,0,0,0,0,0,0,0,37,17,17,15,6.2,100,2018
248,Detroit Lions,DET,DST,16,0,0,0,0,0,0,0,0,43,7,9,7,6.2,100,2018
251,Cameron Heyward,PIT,DT,16,0,0,0,0,0,0,0,0,8,0,1,1,6.2,99.75,2018
252,Adrian Phillips,LAC,DB,16,0,0,0,0,0,0,0,0,0,1,1,0,6.2,99.5,2018
253,Malcolm Butler,TEN,CB,16,0,0,0,0,0,0,0,0,1,3,0,0,6.2,99.4,2018
