Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints,Year
1,Lamar Jackson,BAL,QB,15,3127,36,6,1206,7,0,0,0,0,0,0,0,27.7,415.68,2019
2,Christian McCaffrey,CAR,RB,16,0,0,0,1387,15,116,1005,4,0,0,0,0,22.2,355.2,2019
3,Dak Prescott,DAL,QB,16,4902,30,11,277,3,0,0,0,0,0,0,0,21.1,337.78,2019
4,Russell Wilson,SEA,QB,16,4110,31,5,342,3,0,0,0,0,0,0,0,20.5,328.6,2019
5,Deshaun Watson,HOU,QB,15,3852,26,12,413,7,1,6,1,0,0,0,0,21.3,319.98,2019
6,Jameis Winston,TB,QB,16,5109,33,30,250,1,0,0,0,0,0,0,0,19.1,305.36,2019
7,Josh Allen,BUF,QB,16,3089,20,9,510,9,0,0,0,0,0,0,0,18,288.56,2019
8,Patrick Mahomes,KC,QB,14,4031,26,5,218,2,0,0,0,0,0,0,0,20.5,287.04,2019
9,Kyler Murray,ARI,QB,16,3722,20,12,544,4,0,0,0,0,0,0,0,17.8,285.28,2019
10,Aaron Rodgers,GB,QB,16,4002,26,4,183,1,0,0,0,0,0,0,0,17.4,278.38,2019
11,Derrick Henry,TEN,RB,15,0,0,0,1540,16,18,206,2,0,0,0,0,18.4,276.6,2019
12,Carson Wentz,PHI,QB,16,4039,27,7,243,1,0,0,0,0,0,0,0,17.2,275.86,2019
13,Matt Ryan,ATL,QB,15,4466,26,14,147,1,0,0,0,0,0,0,0,17.8,267.34,2019
14,Aaron Jones,GB,RB,16,0,0,0,1084,16,49,474,3,0,0,0,0,16.6,265.8,2019
15,Tom Brady,NE,QB,16,4057,24,8,34,3,0,0,0,0,0,0,0,16.5,263.68,2019
16,Ezekiel Elliott,DAL,RB,16,0,0,0,1357,12,54,420,2,0,0,0,0,16.1,257.7,2019
