Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints,Year
1,Josh Allen,BUF,QB,17,4407,36,15,763,6,0,0,0,0,0,0,0,23.7,402.58,2021
2,Justin Herbert,LAC,QB,17,5014,38,15,302,3,0,0,0,0,0,0,0,22.4,380.76,2021
3,Tom Brady,TB,QB,17,5316,43,12,81,2,0,0,0,0,0,0,0,22,374.74,2021
4,Patrick Mahomes,KC,QB,17,4839,37,13,381,2,0,0,0,0,0,0,0,21.3,361.66,2021
5,Jonathan Taylor,IND,RB,17,0,0,0,1811,18,40,360,2,0,0,0,0,19.6,333.1,2021
6,Aaron Rodgers,GB,QB,16,4115,37,4,101,3,1,-4,0,0,0,0,0,20.8,332.3,2021
7,Matthew Stafford,LAR,QB,17,4886,41,17,43,0,0,0,0,0,0,0,0,19.4,329.74,2021
8,Dak Prescott,DAL,QB,16,4449,37,10,146,1,0,0,0,0,0,0,0,20,320.56,2021
9,Joe Burrow,CIN,QB,16,4611,34,14,118,2,0,0,0,0,0,0,0,19.6,314.24,2021
10,Jalen Hurts,PHI,QB,15,3144,16,9,784,10,0,0,0,0,0,0,0,20.8,312.16,2021
11,Kyler Murray,ARI,QB,14,3787,24,10,423,5,0,7,0,0,0,0,0,21.5,300.48,2021
12,Kirk Cousins,MIN,QB,16,4221,33,7,115,1,0,0,0,0,0,0,0,18.8,300.34,2021
13,Cooper Kupp,LAR,WR,17,0,0,0,18,0,145,1947,16,0,0,0,0,17.3,294.5,2021
14,Austin Ekeler,LAC,RB,16,0,0,0,911,12,70,647,8,0,0,0,0,17.1,273.8,2021
15,Ryan Tannehill,TEN,QB,17,3734,21,14,270,7,0,0,0,0,0,0,0,15.8,268.36,2021
